article,best_available_tier,rendered_tier_before,rendered_tier_after,action,at_best_tier,source_file
ijs/content/32/1/77,tier2-pdf,missing,tier2-pdf(pdf only),summarized-pdf,no,binary/4bc55bbd2274fd75e857a2d8207c47d65e1efeaa.00018087.pdf
ijs/content/32/1/82,tier2-pdf,tier3-abstract,tier2-pdf(abstract+pdf),summarized-pdf,no,html/3776931fb789b2958c2fdc95a53ff0ff2810c37b.00027479.html
ijs/content/32/1/92,tier2-pdf,tier3-abstract,tier2-pdf(abstract+pdf),summarized-pdf,no,html/ae39ff2f7d1686f5d4caf0515b6faba22c43911b.00027484.html
ijs/content/32/2/195,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/32/2/201,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/32/2/266,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/32/3/315,tier3-abstract,missing,tier3-abstract,abstract,yes,html/f6f2a2df7e484021314ad84e56aee01d84c8701e.00003331.html
ijs/content/32/3/327,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/32/3/358,tier3-abstract,tier3-abstract,tier3-abstract,abstract,yes,html/ba7d8b1ef98ff565661398f93e486cfc17ec3718.00027488.html
ijs/content/32/3/374,tier3-abstract,tier3-abstract,tier3-abstract,abstract,yes,html/96575c2bc31a3fc10ec3232afd580306db50c411.00027489.html
ijs/content/32/3/378,tier3-abstract,tier3-abstract,tier3-abstract,abstract,yes,html/73cb9b1d9fc4fb55ea52a47c29815f4949a62f84.00027493.html
ijs/content/32/3/384,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/32/4/419,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/32/4/459,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/32/4/461,tier3-abstract,missing,tier3-abstract,abstract,yes,html/ae081e520b8e1d48faa6f9ddc5d5608e83996fa9.00003332.html
ijs/content/32/4/464,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/33/1/118,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/33/1/122,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/33/1/9,tier3-abstract,tier4-stub,tier3-abstract,abstract,yes,html/b4d99a4f091cd3f25b271b48b8e9eb3540141966.00003333.html
ijs/content/33/1/94,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/33/2/133,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/33/2/300,tier2-pdf,missing,tier2-pdf(pdf only),summarized-pdf,no,binary/b21fe519c14e03ec19e6f807c5504934ea69e509.00018107.pdf
ijs/content/33/2/309,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/33/2/321,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/33/2/325,tier2-pdf,missing,tier2-pdf(pdf only),summarized-pdf,no,binary/fcb98a36cdd617b08e1bc556990d52c44251feec.00027497.pdf
ijs/content/33/2/381,tier4-stub,tier4-stub,tier4-stub,stub,yes,
ijs/content/33/2/425,tier4-stub,missing,tier4-stub,stub,yes,
